page,x,y,width,height,stroke_color,fill_color,line_width
1,324.44,524.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,512.5,201.89,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,501.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,501.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,489.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,489.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,478.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,478.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,406.5,476.0,163.5,96.0,0 G,0 g,0.5
1,408.5,558.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,558.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,547.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,547.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,535.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,535.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,524.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,524.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,512.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,512.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,501.0,159.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,408.5,501.0,93.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,502.12,501.0,65.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,489.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,489.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,408.5,478.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,535.38,478.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,426.0,311.43,50.0,0 G,0 g,0.5
1,27.0,463.0,307.43,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,103.86,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,129.48,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,206.33,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,231.95,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,308.81,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,336.43,426.0,233.57,50.0,0 G,0 g,0.5
1,338.43,462.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,462.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,524.04,462.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,338.43,451.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,451.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,451.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,338.43,439.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,484.96,439.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,439.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,338.43,428.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
