page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Total(Excluding CWSN),29.0,549.5,F2,7.5,27.0,547.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,164.12,550.0,F2,7.0,141.41,547.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,2,192.72,550.0,F2,7.0,170.01,547.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,In Good Condition,204.61,549.0,F2,7.5,202.61,547.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5,398.61,549.5,F2,7.0,324.44,547.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Drinking Water Functional,410.5,549.0,F2,7.5,408.5,547.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,549.5,F2,7.0,535.38,547.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Functional,29.0,538.0,F2,7.5,27.0,536.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,164.12,538.5,F2,7.0,141.41,536.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,2,192.72,538.5,F2,7.0,170.01,536.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Needs Minor Repair,204.61,537.5,F2,7.5,202.61,535.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2,398.61,538.0,F2,7.0,324.44,535.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Rain Water Harvesting,410.5,537.5,F2,7.5,408.5,535.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,538.0,F2,7.0,535.38,535.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Func. CWSN Friendly,29.0,526.5,F2,7.5,27.0,524.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,164.12,527.0,F2,7.0,141.41,524.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,192.72,527.0,F2,7.0,170.01,524.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Needs Major Repair,204.61,526.0,F2,7.5,202.61,524.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,398.61,526.5,F2,7.0,324.44,524.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Playground Available,410.5,526.0,F2,7.5,408.5,524.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,526.5,F2,7.0,535.38,524.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Urinal,29.0,515.0,F2,7.5,27.0,513.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
