page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Needs Major Repair,204.61,519.5,F2,7.5,202.61,517.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,398.61,520.0,F2,7.0,324.44,517.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Playground Available,410.5,519.5,F2,7.5,408.5,517.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,520.0,F2,7.0,535.38,517.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Urinal,29.0,508.5,F2,7.5,27.0,506.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,164.12,509.0,F2,7.0,141.41,506.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,19,188.83,509.0,F2,7.0,170.01,506.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",204.61,508.0,F2,7.5,202.61,506.0,201.89,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Furniture Availability,410.5,508.0,F2,7.5,408.5,506.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,939,554.32,508.5,F2,7.0,535.38,506.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Handwash Near Toilet,29.0,497.0,F2,7.5,27.0,495.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,178.33,497.5,F2,7.0,141.41,495.0,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Other Rooms,204.61,496.5,F2,7.5,202.61,494.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,4,398.61,497.0,F2,7.0,324.44,494.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Electricity Availability,410.5,496.5,F2,7.5,408.5,494.5,93.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,504.12,497.0,F2,7.0,502.12,494.5,65.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Handwash Facility for Meal,29.0,485.5,F2,7.5,27.0,483.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,178.33,486.0,F2,7.0,141.41,483.5,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Library Availability,204.61,485.0,F2,7.5,202.61,483.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,384.22,485.5,F2,7.0,324.44,483.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Solar Panel,410.5,485.0,F2,7.5,408.5,483.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,485.5,F2,7.0,535.38,483.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",,,,,27.0,471.5,171.61,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Separate Room for HM,204.61,473.5,F2,7.5,202.61,471.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,384.22,474.0,F2,7.0,324.44,471.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medical checkups,410.5,473.5,F2,7.5,408.5,471.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,474.0,F2,7.0,535.38,471.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Digital Facilities (Functional),133.07,458.5,F1,7.0,27.0,456.5,307.43,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"No.of Students Received (DCF 5.1 , 5.2)",346.35,458.25,F1,7.0,338.43,456.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Primary,486.96,458.0,F2,7.5,484.96,456.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Up.Primary,526.04,458.0,F2,7.5,524.04,456.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,ICT Lab,29.0,447.0,F2,7.5,27.0,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
